#From table in https://arxiv.org/pdf/2012.09917.pdf,
energy,flux
1.00,2.372
1.25,2.060
1.50,1.878
1.75,1.697
2.00,1.498
2.25,1.306
2.50,1.135
2.75,9.880e-01
3.00,8.527e-01
3.25,7.322e-01
3.50,6.126e-01
3.75,5.127e-01
4.00,4.286e-01
4.25,3.518e-01
4.50,2.843e-01
4.75,2.325e-01
5.00,1.920e-01
5.25,1.574e-01
5.50,1.275e-01
5.75,1.018e-01
6.00,7.983e-02
6.25,6.182e-02
6.50,4.820e-02
6.75,3.670e-02
7.00,2.697e-02
7.25,1.872e-02
7.50,1.253e-02
7.75,8.110e-03
8.00,4.994e-03
8.25,2.829e-03
8.50,1.696e-03
8.75,1.012e-03
9.00,5.417e-04
9.25,3.359e-04
9.50,2.154e-04
9.75,1.488e-04
10.00,9.981e-05
