#From table in https://arxiv.org/pdf/2012.09917.pdf,
#Bin centers (MeV), Neutrinos per Fission per MeV
energy,flux
1.00,2.196
1.25,1.881
1.50,1.638
1.75,1.442
2.00,1.239
2.25,1.041
2.50,8.719e-01
2.75,7.338e-01
3.00,6.097e-01
3.25,5.079e-01
3.50,4.112e-01
3.75,3.323e-01
4.00,2.680e-01
4.25,2.124e-01
4.50,1.657e-01
4.75,1.328e-01
5.00,1.058e-01
5.25,8.405e-02
5.50,6.591e-02
5.75,5.077e-02
6.00,3.842e-02
6.25,2.837e-02
6.50,2.117e-02
6.75,1.539e-02
7.00,1.083e-02
7.25,7.108e-03
7.50,4.563e-03
7.75,2.793e-03
8.00,1.459e-03
8.25,6.003e-04
8.50,3.448e-04
8.75,1.834e-04
9.00,7.698e-05
9.25,4.550e-05
9.50,2.818e-05
9.75,1.855e-05
10.00,1.154e-05
