#From table in https://arxiv.org/pdf/2012.09917.pdf,
energy,flux
1.00,2.292
1.25,1.894
1.50,1.719
1.75,1.545
2.00,1.340
2.25,1.144
2.50,9.688e-01
2.75,8.170e-01
3.00,6.720e-01
3.25,5.536e-01
3.50,4.403e-01
3.75,3.528e-01
4.00,2.826e-01
4.25,2.195e-01
4.50,1.667e-01
4.75,1.286e-01
5.00,1.019e-01
5.25,8.013e-02
5.50,6.190e-02
5.75,4.692e-02
6.00,3.484e-02
6.25,2.544e-02
6.50,1.887e-02
6.75,1.373e-02
7.00,9.448e-03
7.25,5.954e-03
7.50,3.519e-03
7.75,2.017e-03
8.00,1.109e-03
8.25,5.371e-04
8.50,2.783e-04
8.75,1.330e-04
9.00,4.569e-05
9.25,2.649e-05
9.50,1.553e-05
9.75,1.022e-05
10.00,6.444e-06
