#From table in https://arxiv.org/pdf/2012.09917.pdf,
energy,flux
1.00,2.025
1.25,1.658
1.50,1.471
1.75,1.296
2.00,1.101
2.25,9.190e-01
2.50,7.642e-01
2.75,6.357e-01
3.00,5.146e-01
3.25,4.146e-01
3.50,3.209e-01
3.75,2.488e-01
4.00,1.938e-01
4.25,1.462e-01
4.50,1.079e-01
4.75,8.193e-02
5.00,6.374e-02
5.25,4.948e-02
5.50,3.781e-02
5.75,2.840e-02
6.00,2.098e-02
6.25,1.504e-02
6.50,1.099e-02
6.75,7.933e-03
7.00,5.402e-03
7.25,3.384e-03
7.50,2.026e-03
7.75,1.159e-03
8.00,5.936e-04
8.25,2.437e-04
8.50,1.310e-04
8.75,5.870e-05
9.00,1.685e-05
9.25,9.914e-06
9.50,6.010e-06
9.75,3.968e-06
10.00,2.496e-06
